eid,gp2025,fp2025
40798,20,30
32672,27,472
40896,11,21
32721,57,179
32751,21,62
32769,8,-7
41000,12,19
4620398,22,427
32833,26,117
41029,17,145
32900,47,153
41103,5,-38
41127,36,300
4415753,3,1
41239,77,218
4415756,4,-34
41309,31,339
41324,7,-25
41349,28,71
41367,7,55
33203,6,38
4088296,6,4
41557,31,170
41584,21,139
5137054,13,14
41849,18,432
33714,1,-6
41907,9,-1
33796,5,-2
33833,26,139
4621424,9,13
42056,44,122
34089,41,0
42413,18,81
42416,66,261
42421,2,25
42434,63,375
42451,30,124
4228723,7,107
4228724,9,421
42683,10,41
4204524,3,-8
34842,3,19
34954,4,-12
34964,19,46
4221113,32,184
4917636,3,-18
4991251,9,171
35185,55,245
5196249,19,514
35276,13,8
35358,7,10
4917779,22,84
4917793,52,122
35440,38,33
35676,35,48
4418346,21,79
36080,12,121
36156,42,271
4345396,3,-2
36497,43,106
36754,56,140
4313208,13,178
36953,21,91
4722917,17,182
28968,11,125
5124556,1,0
29172,20,213
29551,32,110
37802,6,48
4297978,42,164
5264531,1,7
4084958,23,251
38347,62,309
30289,62,92
5002952,32,141
5125912,25,226
4151347,31,146
4987389,13,105
39382,7,17
4413868,1,-20
4413898,55,157
3963340,10,39
4684365,2,69
4413982,1,7
4414154,6,98
4307826,49,101
4414241,11,31
39799,1,15
31670,46,103
39879,7,19
31749,52,338
40351,24,86
40391,3,55
40446,3,1
32273,46,107
40466,27,51
5127801,26,65
40518,21,38
32355,5,8
40634,7,8
40666,22,52
4423337,2,59
32511,13,139
4087614,8,134
32594,21,139
32631,59,396
40851,57,210
40865,4,-24
32680,27,45
32684,37,227
40903,10,101
40915,10,-8
40916,7,-16
40951,15,23
40967,5,42
32787,15,74
32807,18,-8
32810,42,281
41006,2,15
5136509,1,-5
32856,13,24
32859,19,48
41061,40,180
41076,68,185
41184,15,118
41187,8,12
4415654,7,51
41209,15,18
41228,7,-18
41233,41,188
41244,3,8
4415762,31,215
5120296,7,-4
41313,19,30
41329,32,245
41339,5,7
33173,31,765
33180,13,248
41375,2,39
41385,19,138
4997597,24,98
33194,9,241
33196,6,34
41392,1,12
33249,9,156
41461,1,-6
3662290,2,44
33283,1,-9
41526,5,19
41569,28,221
4981312,4,18
4326103,16,-17
4424444,1,0
33599,6,13
41810,9,76
41828,59,402
33732,3,1
4678659,14,156
33790,1,9
33826,2,6
42065,37,249
33878,51,137
4228299,14,-9
42138,3,29
42200,7,41
42228,8,20
4916585,18,138
5014989,12,104
5195258,8,81
42429,17,13
42430,11,3
5015039,17,110
4990459,2,28
42486,25,82
5080514,11,51
42542,10,114
42546,36,192
